	WL-0	WL-1	WL-2	WL-3	WL-4	WL-5	WL-6
0	0	0	0	0	1.8	4.16	5.36
1	0.43	1.46	1.87	2.96	5.66	7.54	8.55
2	1.4	3.79	4.81	6.3	8.01	9.36	10.08
3	2.89	6.1	7.38	8.61	9.58	10.3	10.85
4	4.65	8.17	9.35	10.13	10.59	10.91	11.15
5	6.56	9.81	10.59	10.94	11.12	11.21	11.25
6	8.21	10.78	11.15	11.25	11.25	11.25	11.25
7	9.16	11.21	11.25	11.25	11.25	11.25	11.25
8	9.53	11.25	11.25	11.25	11.25	11.25	11.25
9	9.57	11.25	11.25	11.25	11.25	11.25	11.25
10	9.57	11.25	11.25	11.25	11.25	11.25	11.25
11	9.57	11.25	11.25	11.25	11.25	11.25	11.25
12	9.57	11.25	11.25	11.25	11.25	11.25	11.25
13	9.57	11.25	11.25	11.25	11.25	11.25	11.25
14	9.57	11.25	11.25	11.25	11.25	11.25	11.25
15	9.47	11.2	11.23	11.25	11.25	11.25	11.25
16	8.64	10.83	11.06	11.19	11.24	11.25	11.25
17	6.66	9.76	10.37	10.67	10.85	10.97	11.07
18	4.05	7.9	8.71	9.09	9.34	9.59	10.02
19	1.53	4.9	5.47	5.68	5.87	6.23	6.9
20	0	0	0	0	0	0.5	1.1
